Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Diss,m_ppo,m_td,m_iti,t_pi,T.Rate,t_td,m_density,Uncertainty
1,2,mask_ppo_64_td_002_iti_03_target_fq_699_td_006_r_5,1,0,0,0,5674.0,40.0,64.0,0.02,300.0,699.0,5.0,0.06,23.0,339.0
1,2,mask_ppo_64_td_002_iti_11_target_fq_699_td_006_r_2,1,0,0,0,3874.0,40.0,64.0,0.02,1100.0,699.0,2.0,0.06,19.0,442.0
1,2,mask_ppo_64_td_002_iti_23_target_fq_1000_td_006_r_1,1,0,0,0,3819.0,40.0,64.0,0.02,2300.0,1000.0,1.0,0.06,17.0,492.0
1,2,mask_ppo_64_td_002_iti_23_target_fq_2045_td_006_r_1,1,0,0,0,2923.0,40.0,64.0,0.02,2300.0,2045.0,1.0,0.06,17.0,492.0
1,2,mask_ppo_64_td_002_iti_23_target_fq_489_td_006_r_1,1,0,0,0,3904.0,40.0,64.0,0.02,2300.0,489.0,1.0,0.06,17.0,492.0
1,3,mask_ppo_16_iti_03_td_002,0,0,0,1,0.0,,16.0,0.02,300.0,,,,6.0,84.0
1,3,mask_ppo_16_iti_11_td_002,0,0,0,1,0.0,,16.0,0.02,1100.0,,,,5.0,110.0
1,3,mask_ppo_16_iti_11_td_006,0,0,0,1,0.0,,16.0,0.06,1100.0,,,,5.0,110.0
1,3,mask_ppo_16_iti_11_td_01,0,0,0,1,0.0,,16.0,0.1,1100.0,,,,5.0,110.0
1,3,mask_ppo_16_iti_23_td_002,0,0,0,1,0.0,,16.0,0.02,2300.0,,,,4.0,123.0
1,3,mask_ppo_16_td_002_iti_03_target_fq_1000_td_006_r_2,1,0,0,0,3373.0,40.0,16.0,0.02,300.0,1000.0,2.0,0.06,6.0,84.0
1,3,mask_ppo_16_td_002_iti_03_target_fq_1430_td_006_r_5,1,0,0,0,2532.0,40.0,16.0,0.02,300.0,1430.0,5.0,0.06,6.0,84.0
1,3,mask_ppo_16_td_002_iti_11_target_fq_489_td_006_r_5,1,0,0,0,2122.0,40.0,16.0,0.02,1100.0,489.0,5.0,0.06,5.0,110.0
1,3,mask_ppo_16_td_002_iti_23_target_fq_1430_td_006_r_2,1,0,0,0,2683.0,40.0,16.0,0.02,2300.0,1430.0,2.0,0.06,4.0,123.0
1,3,mask_ppo_16_td_002_iti_23_target_fq_1430_td_006_r_5,1,0,0,0,2108.0,40.0,16.0,0.02,2300.0,1430.0,5.0,0.06,4.0,123.0
1,3,mask_ppo_16_td_002_iti_23_target_fq_2924_td_006_r_5,1,0,0,0,1900.0,40.0,16.0,0.02,2300.0,2924.0,5.0,0.06,4.0,123.0
1,3,mask_ppo_16_td_002_iti_23_target_fq_699_td_006_r_1,1,0,0,0,2916.0,40.0,16.0,0.02,2300.0,699.0,1.0,0.06,4.0,123.0
1,3,mask_ppo_32_iti_03_td_002,0,0,0,1,0.0,,32.0,0.02,300.0,,,,11.0,169.0
1,3,mask_ppo_32_iti_11_td_002,0,0,0,1,0.0,,32.0,0.02,1100.0,,,,9.0,221.0
1,3,mask_ppo_32_iti_23_td_002,0,0,0,1,0.0,,32.0,0.02,2300.0,,,,8.0,246.0
1,3,mask_ppo_32_td_002_iti_03_target_fq_1000_td_006_r_2,1,0,0,0,2227.0,40.0,32.0,0.02,300.0,1000.0,2.0,0.06,11.0,169.0
1,3,mask_ppo_32_td_002_iti_03_target_fq_1000_td_006_r_5,1,0,0,0,2441.0,40.0,32.0,0.02,300.0,1000.0,5.0,0.06,11.0,169.0
1,3,mask_ppo_32_td_002_iti_03_target_fq_1430_td_006_r_1,1,0,0,0,7038.0,40.0,32.0,0.02,300.0,1430.0,1.0,0.06,11.0,169.0
1,3,mask_ppo_32_td_002_iti_11_target_fq_489_td_006_r_2,1,0,0,0,2395.0,40.0,32.0,0.02,1100.0,489.0,2.0,0.06,9.0,221.0
1,3,mask_ppo_32_td_002_iti_23_target_fq_1430_td_006_r_2,1,0,0,0,2838.0,40.0,32.0,0.02,2300.0,1430.0,2.0,0.06,8.0,246.0
1,3,mask_ppo_32_td_002_iti_23_target_fq_1430_td_006_r_5,1,0,0,0,2529.0,40.0,32.0,0.02,2300.0,1430.0,5.0,0.06,8.0,246.0
1,3,mask_ppo_32_td_002_iti_23_target_fq_2924_td_006_r_2,1,0,0,0,2742.0,40.0,32.0,0.02,2300.0,2924.0,2.0,0.06,8.0,246.0
1,3,mask_ppo_64_iti_03_td_002,0,1,0,0,8724.0,,64.0,0.02,300.0,,,,23.0,339.0
1,3,mask_ppo_64_iti_11_td_002,0,0,0,1,0.0,,64.0,0.02,1100.0,,,,19.0,442.0
1,3,mask_ppo_64_iti_11_td_006,0,0,0,1,0.0,,64.0,0.06,1100.0,,,,19.0,442.0
1,3,mask_ppo_64_iti_11_td_01,0,0,0,1,0.0,,64.0,0.1,1100.0,,,,20.0,442.0
1,3,mask_ppo_64_iti_23_td_002,0,1,0,0,6507.0,,64.0,0.02,2300.0,,,,17.0,492.0
1,3,mask_ppo_64_td_002_iti_03_target_fq_1000_td_006_r_5,1,0,0,0,2980.0,40.0,64.0,0.02,300.0,1000.0,5.0,0.06,23.0,339.0
1,3,mask_ppo_64_td_002_iti_03_target_fq_1430_td_006_r_2,1,0,0,0,9655.0,40.0,64.0,0.02,300.0,1430.0,2.0,0.06,23.0,339.0
1,3,mask_ppo_64_td_002_iti_03_target_fq_2045_td_006_r_5,0,0,1,0,0.0,40.0,64.0,0.02,300.0,2045.0,5.0,0.06,23.0,339.0
1,3,mask_ppo_64_td_002_iti_03_target_fq_489_td_006_r_2,0,0,1,0,0.0,40.0,64.0,0.02,300.0,489.0,2.0,0.06,23.0,339.0
1,3,mask_ppo_64_td_002_iti_11_target_fq_1430_td_006_r_2,1,0,0,0,3214.0,40.0,64.0,0.02,1100.0,1430.0,2.0,0.06,19.0,442.0
1,3,mask_ppo_64_td_002_iti_11_target_fq_2045_td_006_r_2,1,0,0,0,4618.0,40.0,64.0,0.02,1100.0,2045.0,2.0,0.06,19.0,442.0
1,3,mask_ppo_64_td_002_iti_11_target_fq_2924_td_006_r_2,1,0,0,0,2383.0,40.0,64.0,0.02,1100.0,2924.0,2.0,0.06,19.0,442.0
1,3,mask_ppo_64_td_002_iti_11_target_fq_489_td_006_r_2,1,0,0,0,3671.0,40.0,64.0,0.02,1100.0,489.0,2.0,0.06,19.0,442.0
1,3,mask_ppo_64_td_002_iti_11_target_fq_489_td_006_r_5,1,0,0,0,2515.0,40.0,64.0,0.02,1100.0,489.0,5.0,0.06,19.0,442.0
1,3,mask_ppo_64_td_002_iti_11_target_fq_699_td_006_r_1,1,0,0,0,4964.0,40.0,64.0,0.02,1100.0,699.0,1.0,0.06,19.0,442.0
1,3,mask_ppo_64_td_002_iti_23_target_fq_1430_td_006_r_1,1,0,0,0,3097.0,40.0,64.0,0.02,2300.0,1430.0,1.0,0.06,17.0,492.0
1,3,mask_ppo_64_td_002_iti_23_target_fq_1430_td_006_r_5,1,0,0,0,2691.0,40.0,64.0,0.02,2300.0,1430.0,5.0,0.06,17.0,492.0
1,3,mask_ppo_64_td_002_iti_23_target_fq_699_td_006_r_2,1,0,0,0,2827.0,40.0,64.0,0.02,2300.0,699.0,2.0,0.06,17.0,492.0
1,4,mask_ppo_16_iti_03_td_002,0,1,0,0,8705.0,,16.0,0.02,300.0,,,,6.0,84.0
1,4,mask_ppo_16_iti_11_td_002,0,0,0,1,0.0,,16.0,0.02,1100.0,,,,5.0,110.0
1,4,mask_ppo_16_iti_11_td_006,0,0,0,1,0.0,,16.0,0.06,1100.0,,,,5.0,110.0
1,4,mask_ppo_16_iti_11_td_01,0,0,0,1,0.0,,16.0,0.1,1100.0,,,,5.0,110.0
1,4,mask_ppo_16_iti_23_td_002,0,0,0,1,0.0,,16.0,0.02,2300.0,,,,4.0,123.0
1,4,mask_ppo_16_td_002_iti_03_target_fq_1430_td_006_r_2,1,0,0,0,3145.0,40.0,16.0,0.02,300.0,1430.0,2.0,0.06,6.0,84.0
1,4,mask_ppo_16_td_002_iti_03_target_fq_2924_td_006_r_2,1,0,0,0,3050.0,40.0,16.0,0.02,300.0,2924.0,2.0,0.06,6.0,84.0
1,4,mask_ppo_16_td_002_iti_03_target_fq_699_td_006_r_1,1,0,0,0,3809.0,40.0,16.0,0.02,300.0,699.0,1.0,0.06,6.0,84.0
1,4,mask_ppo_16_td_002_iti_03_target_fq_699_td_006_r_2,1,0,0,0,3345.0,40.0,16.0,0.02,300.0,699.0,2.0,0.06,6.0,84.0
1,4,mask_ppo_16_td_002_iti_03_target_fq_699_td_006_r_5,1,0,0,0,2374.0,40.0,16.0,0.02,300.0,699.0,5.0,0.06,6.0,84.0
1,4,mask_ppo_16_td_002_iti_11_target_fq_1430_td_006_r_2,1,0,0,0,4632.0,40.0,16.0,0.02,1100.0,1430.0,2.0,0.06,5.0,110.0
1,4,mask_ppo_16_td_002_iti_11_target_fq_699_td_006_r_1,1,0,0,0,2922.0,40.0,16.0,0.02,1100.0,699.0,1.0,0.06,5.0,110.0
1,4,mask_ppo_16_td_002_iti_23_target_fq_1000_td_006_r_2,1,0,0,0,4316.0,40.0,16.0,0.02,2300.0,1000.0,2.0,0.06,4.0,123.0
1,4,mask_ppo_32_iti_03_td_002,0,0,0,1,0.0,,32.0,0.02,300.0,,,,11.0,169.0
1,4,mask_ppo_32_iti_11_td_002,0,0,0,1,0.0,,32.0,0.02,1100.0,,,,9.0,221.0
1,4,mask_ppo_32_iti_23_td_002,0,0,0,1,0.0,,32.0,0.02,2300.0,,,,8.0,246.0
1,4,mask_ppo_32_td_002_iti_03_target_fq_1000_td_006_r_1,1,0,0,0,5648.0,40.0,32.0,0.02,300.0,1000.0,1.0,0.06,11.0,169.0
1,4,mask_ppo_32_td_002_iti_03_target_fq_1430_td_006_r_2,1,0,0,0,8373.0,40.0,32.0,0.02,300.0,1430.0,2.0,0.06,11.0,169.0
1,4,mask_ppo_32_td_002_iti_03_target_fq_2924_td_006_r_1,1,0,0,0,6872.0,40.0,32.0,0.02,300.0,2924.0,1.0,0.06,11.0,169.0
1,4,mask_ppo_32_td_002_iti_03_target_fq_489_td_006_r_5,1,0,0,0,4552.0,40.0,32.0,0.02,300.0,489.0,5.0,0.06,11.0,169.0
1,4,mask_ppo_32_td_002_iti_11_target_fq_1000_td_006_r_1,1,0,0,0,3819.0,40.0,32.0,0.02,1100.0,1000.0,1.0,0.06,9.0,221.0
1,4,mask_ppo_32_td_002_iti_11_target_fq_1430_td_006_r_1,1,0,0,0,4725.0,40.0,32.0,0.02,1100.0,1430.0,1.0,0.06,9.0,221.0
1,4,mask_ppo_32_td_002_iti_11_target_fq_699_td_006_r_1,1,0,0,0,4834.0,40.0,32.0,0.02,1100.0,699.0,1.0,0.06,9.0,221.0
1,4,mask_ppo_32_td_002_iti_23_target_fq_2045_td_006_r_2,1,0,0,0,3533.0,40.0,32.0,0.02,2300.0,2045.0,2.0,0.06,8.0,246.0
1,4,mask_ppo_32_td_002_iti_23_target_fq_2924_td_006_r_5,1,0,0,0,2183.0,40.0,32.0,0.02,2300.0,2924.0,5.0,0.06,8.0,246.0
1,4,mask_ppo_64_iti_03_td_002,0,1,0,0,7739.0,,64.0,0.02,300.0,,,,23.0,339.0
1,4,mask_ppo_64_iti_11_td_002,0,0,0,1,0.0,,64.0,0.02,1100.0,,,,19.0,442.0
